Peromyscus_maniculatus032219-RA,40
Peromyscus_maniculatus020434-RA,74
Peromyscus_maniculatus007712-RA,561
Peromyscus_maniculatus018838-RA,98
Peromyscus_maniculatus018360-RA,226
Peromyscus_maniculatus007261-RA,152
Peromyscus_maniculatus012390-RA,58
Peromyscus_maniculatus002528-RA,97
Peromyscus_maniculatus005117-RA,84
Peromyscus_maniculatus023628-RA,229
Peromyscus_maniculatus026583-RA,128
Peromyscus_maniculatus012704-RA,69
Peromyscus_maniculatus012893-RA,617
Peromyscus_maniculatus019923-RA,297
Peromyscus_maniculatus025943-RA,40
Peromyscus_maniculatus031377-RA,144
Peromyscus_maniculatus022700-RA,62
Peromyscus_maniculatus028189-RA,54
Peromyscus_maniculatus003156-RA,266
Peromyscus_maniculatus024621-RA,553
Peromyscus_maniculatus024041-RA,76
Peromyscus_maniculatus005456-RA,63
Peromyscus_maniculatus003934-RA,267
Peromyscus_maniculatus031081-RA,57
Peromyscus_maniculatus022752-RA,118
Peromyscus_maniculatus007954-RA,30
Peromyscus_maniculatus032716-RA,56
Peromyscus_maniculatus021887-RA,81
Peromyscus_maniculatus027045-RA,320
Peromyscus_maniculatus008322-RA,95
Peromyscus_maniculatus015167-RA,56
Peromyscus_maniculatus030616-RA,34
Peromyscus_maniculatus032325-RA,64
Peromyscus_maniculatus024546-RA,74
Peromyscus_maniculatus028261-RA,706
Peromyscus_maniculatus007472-RA,704
Peromyscus_maniculatus002441-RA,47
Peromyscus_maniculatus012030-RA,128
Peromyscus_maniculatus027276-RA,417
Peromyscus_maniculatus000426-RA,134
Peromyscus_maniculatus014751-RA,75
Peromyscus_maniculatus007146-RA,951
Peromyscus_maniculatus023820-RA,63
Peromyscus_maniculatus012997-RA,34
Peromyscus_maniculatus025676-RA,161
Peromyscus_maniculatus025966-RA,156
Peromyscus_maniculatus013390-RA,85
Peromyscus_maniculatus003456-RA,121
Peromyscus_maniculatus021898-RA,78
Peromyscus_maniculatus022255-RA,37
Peromyscus_maniculatus008672-RA,34
Peromyscus_maniculatus003377-RA,109
Peromyscus_maniculatus015996-RA,1077
Peromyscus_maniculatus008711-RA,67
Peromyscus_maniculatus031824-RA,30
Peromyscus_maniculatus026048-RA,57
Peromyscus_maniculatus007463-RA,164
Peromyscus_maniculatus005672-RA,129
Peromyscus_maniculatus027157-RA,60
Peromyscus_maniculatus013713-RA,289
Peromyscus_maniculatus011306-RA,68
Peromyscus_maniculatus025269-RA,149
Peromyscus_maniculatus024863-RA,181
Peromyscus_maniculatus000134-RA,68
Peromyscus_maniculatus004993-RA,59
Peromyscus_maniculatus013649-RA,578
Peromyscus_maniculatus010429-RA,692
Peromyscus_maniculatus002485-RA,514
Peromyscus_maniculatus026440-RA,1247
Peromyscus_maniculatus017076-RA,1632
Peromyscus_maniculatus012816-RA,271
Peromyscus_maniculatus030993-RA,42
Peromyscus_maniculatus010965-RA,71
Peromyscus_maniculatus017341-RA,107
Peromyscus_maniculatus012340-RA,314
Peromyscus_maniculatus031187-RA,25
Peromyscus_maniculatus022584-RA,56
Peromyscus_maniculatus027395-RA,46
Peromyscus_maniculatus005482-RA,235
Peromyscus_maniculatus013818-RA,383
Peromyscus_maniculatus013359-RA,41
Peromyscus_maniculatus019990-RA,343
Peromyscus_maniculatus031059-RA,45
Peromyscus_maniculatus023172-RA,424
Peromyscus_maniculatus008996-RA,52
Peromyscus_maniculatus014211-RA,347
Peromyscus_maniculatus020600-RA,13
Peromyscus_maniculatus029873-RA,46
Peromyscus_maniculatus019159-RA,272
Peromyscus_maniculatus016425-RA,309
Peromyscus_maniculatus001177-RA,52
Peromyscus_maniculatus001341-RA,238
Peromyscus_maniculatus003293-RA,485
Peromyscus_maniculatus030188-RA,51
Peromyscus_maniculatus012715-RA,38
Peromyscus_maniculatus016654-RA,57
Peromyscus_maniculatus007801-RA,73
Peromyscus_maniculatus003470-RA,541
Peromyscus_maniculatus008316-RA,41
Peromyscus_maniculatus020449-RA,1680
Peromyscus_maniculatus009798-RA,68
Peromyscus_maniculatus012923-RA,107
Peromyscus_maniculatus005772-RA,65
Peromyscus_maniculatus030681-RA,80
Peromyscus_maniculatus004023-RA,39
Peromyscus_maniculatus018772-RA,732
Peromyscus_maniculatus031370-RA,64
Peromyscus_maniculatus001979-RA,141
Peromyscus_maniculatus008080-RA,1922
Peromyscus_maniculatus030906-RA,1379
Peromyscus_maniculatus031149-RA,184
Peromyscus_maniculatus020686-RA,88
Peromyscus_maniculatus005009-RA,76
Peromyscus_maniculatus030386-RA,34
Peromyscus_maniculatus021399-RA,43
Peromyscus_maniculatus008555-RA,59
Peromyscus_maniculatus031285-RA,58
Peromyscus_maniculatus028905-RA,710
Peromyscus_maniculatus015188-RA,69
Peromyscus_maniculatus015155-RA,593
Peromyscus_maniculatus026486-RA,194
Peromyscus_maniculatus007547-RA,52
Peromyscus_maniculatus003272-RA,327
Peromyscus_maniculatus002108-RA,52
Peromyscus_maniculatus004547-RA,81
Peromyscus_maniculatus014495-RA,320
Peromyscus_maniculatus028800-RA,51
Peromyscus_maniculatus000637-RA,123
Peromyscus_maniculatus022128-RA,595
Peromyscus_maniculatus017708-RA,49
Peromyscus_maniculatus008572-RA,222
Peromyscus_maniculatus026049-RA,79
Peromyscus_maniculatus025825-RA,891
Peromyscus_maniculatus000418-RA,488
Peromyscus_maniculatus012104-RA,455
Peromyscus_maniculatus030445-RA,265
Peromyscus_maniculatus008187-RA,654
Peromyscus_maniculatus002179-RA,278
Peromyscus_maniculatus028510-RA,253
Peromyscus_maniculatus012840-RA,40
Peromyscus_maniculatus001781-RA,336
Peromyscus_maniculatus024625-RA,1028
Peromyscus_maniculatus010909-RA,53
Peromyscus_maniculatus005768-RA,61
Peromyscus_maniculatus009846-RA,1457
Peromyscus_maniculatus029281-RA,55
Peromyscus_maniculatus031398-RA,419
Peromyscus_maniculatus007335-RA,130
Peromyscus_maniculatus012891-RA,337
Peromyscus_maniculatus003411-RA,70
Peromyscus_maniculatus000071-RA,25
Peromyscus_maniculatus026782-RA,63
Peromyscus_maniculatus018350-RA,75
Peromyscus_maniculatus027292-RA,639
Peromyscus_maniculatus005394-RA,92
Peromyscus_maniculatus021930-RA,154
Peromyscus_maniculatus025789-RA,403
Peromyscus_maniculatus015197-RA,478
Peromyscus_maniculatus002122-RA,246
Peromyscus_maniculatus031694-RA,143
Peromyscus_maniculatus023524-RA,45
Peromyscus_maniculatus026451-RA,429
Peromyscus_maniculatus008818-RA,350
Peromyscus_maniculatus007048-RA,167
Peromyscus_maniculatus013080-RA,375
Peromyscus_maniculatus009180-RA,55
Peromyscus_maniculatus014687-RA,875
Peromyscus_maniculatus026178-RA,97
Peromyscus_maniculatus019635-RA,43
Peromyscus_maniculatus014668-RA,98
Peromyscus_maniculatus006945-RA,325
Peromyscus_maniculatus003253-RA,476
Peromyscus_maniculatus006730-RA,94
Peromyscus_maniculatus026854-RA,106
Peromyscus_maniculatus029261-RA,323
Peromyscus_maniculatus000753-RA,263
Peromyscus_maniculatus022958-RA,36
Peromyscus_maniculatus008129-RA,29
Peromyscus_maniculatus004522-RA,42
Peromyscus_maniculatus024427-RA,271
Peromyscus_maniculatus021216-RA,75
Peromyscus_maniculatus023273-RA,198
Peromyscus_maniculatus020215-RA,54
Peromyscus_maniculatus010054-RA,62
Peromyscus_maniculatus015507-RA,41
Peromyscus_maniculatus016640-RA,335
Peromyscus_maniculatus006799-RA,387
Peromyscus_maniculatus010978-RA,56
Peromyscus_maniculatus023732-RA,157
Peromyscus_maniculatus014072-RA,560
Peromyscus_maniculatus005780-RA,124
Peromyscus_maniculatus015647-RA,1969
Peromyscus_maniculatus023307-RA,49
Peromyscus_maniculatus018194-RA,47
Peromyscus_maniculatus015874-RA,65
Peromyscus_maniculatus025634-RA,14
Peromyscus_maniculatus015025-RA,135
Peromyscus_maniculatus029049-RA,28
Peromyscus_maniculatus027297-RA,67
Peromyscus_maniculatus010217-RA,204
Peromyscus_maniculatus013938-RA,38
Peromyscus_maniculatus009114-RA,37
Peromyscus_maniculatus022894-RA,86
Peromyscus_maniculatus005409-RA,63
Peromyscus_maniculatus000631-RA,520
Peromyscus_maniculatus010294-RA,415
Peromyscus_maniculatus028293-RA,33
Peromyscus_maniculatus003097-RA,74
Peromyscus_maniculatus014394-RA,1056
Peromyscus_maniculatus001760-RA,46
